Scode,Coname,NewsDt,NewsID,Newsmedia,Buyernm,Sellernm,Subnm,Eqtrart,MAprice,Currut,Ifrumor,State,corporation_name
600588,用友网络,2015-05-12,M628966886,东方财富网,用友网络,无,秉钧网络七成股权,0,1.75,人民币,否,无,秉钧网络七成股权
600590,泰豪科技,2011-10-20,R1572318754,金融界,泰豪科技,泰豪集团有限公司、江西赣能股份（000899）有限公司、泰豪地产控股有限公司、江西丰源电力（集团）有限责任公司、涂彦彬、黄代放、刘花兰,泰豪软件股份有限公司股权,100.00%,4.0,人民币,否,无,泰豪软件股份有限公司股权
600596,新安股份,2019-06-02,E1774170233,和讯网,新安股份,高晓燕,浙江省杭州市萧山区宁围街道平澜路299号浙江商会大厦相关房产,0,1.14,人民币,否,无,高晓燕
600597,光明乳业,2010-07-18,N1577977810,温州网,光明乳业,Synlait Milk Limited,Synlait Milk Limited 51%股权,51.00%,3.82,人民币,否,无,Synlait Milk Limited
600600,青岛啤酒,2015-10-19,D1788299957,财经网,青岛啤酒,日本三得利,公司与日本三得利控股成立的合资企业50%股份权益,50.00%,8.229,人民币,否,无,日本三得利
600601,方正科技,2014-06-03,G1765818,网易,方正科技,方正信产,方正宽带网络服务有限公司100%股权、方正国际软件有限公司100%股权,方正宽带网络服务有限公司100%；方正国际软件有限公司100%,15.75,人民币,否,无,方正信产
600603,大洲兴业,2014-07-31,K156458652,凤凰财经,大洲兴业,无,在扬影视100%股权,100.00%,8.6,人民币,否,无,在扬影视100%股权
600606,金丰投资,2008-09-07,D346063881,挖贝网,金丰投资,无,无锡灵山房地产投资开发有限公司100%股权,100.00%,2.46,人民币,否,无,无锡灵山房地产投资开发有限公司100%股权
600606,绿地控股,2016-11-10,K585952570,中国经营网,绿地控股,协信远创,协信远创40%股权,40.00%,51.63,人民币,否,无,协信远创
600614,鼎立股份,2014-04-11,R592018552,凤凰财经,鼎立股份,曹亮发、黄雷、深圳广纳投资等15名股东,郴州丰越环保科技股份有限公司股权,100.00%,18.0,人民币,否,无,郴州丰越环保科技股份有限公司股权
600621,华鑫股份,2016-11-18,L1849365470,中金在线,华鑫股份,仪电集团、飞乐音响、上海贝岭,华鑫证券92%股权,92.00%,49.27,人民币,否,无,华鑫证券92%股权
600631,百联股份,2015-04-20,G224376913,第1财经,百联股份,百联集团,百联中环股权、崇明购物中心股权,百联中环49%；崇明购物中心51%,50.0,人民币,否,无,百联集团
600633,浙报传媒,2012-04-10,L1790372529,和讯网,浙报传媒,盛大集团,杭州边锋100%股权、上海浩方100%股权,杭州边锋100%；上海浩方100%,35.0,人民币,否,无,盛大集团
